CODGEO;LIBGEO;EPCI;LIBEPCI
12012;Asprières;200067361;CC Grand-Figeac
12013;Aubin;200067064;CC Decazeville Communauté
12015;Auriac-Lagast;241200542;CC du Réquistanais
12016;Auzits;241200625;CC du Pays Rignacois
12017;Ayssènes;241200914;CC de la Muse et des Raspes du Tarn
12018;Balaguier-d'Olt;200067361;CC Grand-Figeac
12019;Balaguier-sur-Rance;200067163;CC Monts, Rance et Rougier
12021;Le Bas Ségala;241200807;CC Aveyron Bas Ségala Viaur
12022;La Bastide-Pradines;241200906;CC Larzac et Vallées
12023;La Bastide-Solages;241200542;CC du Réquistanais
12024;Belcastel;241200625;CC du Pays Rignacois
12025;Belmont-sur-Rance;200067163;CC Monts, Rance et Rougier
12026;Bertholène;200068484;CC des Causses à l'Aubrac
12027;Bessuéjouls;200067478;CC Comtal Lot et Truyère
12028;Boisse-Penchot;200067064;CC Decazeville Communauté
12029;Bor-et-Bar;200069383;CC Ouest Aveyron Communauté
12030;Bouillac;200067064;CC Decazeville Communauté
12031;Bournazel;241200625;CC du Pays Rignacois
12032;Boussac;200068831;CC Pays Ségali Communauté
12033;Bozouls;200067478;CC Comtal Lot et Truyère
12034;Brandonnet;241200674;CC du Plateau de Montbazens
12035;Brasc;241200542;CC du Réquistanais
12036;Brommat;200067171;CC Aubrac, Carladez et Viadène
12037;Broquiès;241200914;CC de la Muse et des Raspes du Tarn
12038;Brousse-le-Château;241200914;CC de la Muse et des Raspes du Tarn
12039;Brusque;200067163;CC Monts, Rance et Rougier
12041;Cabanès;200068831;CC Pays Ségali Communauté
12042;Calmels-et-le-Viala;200067155;CC Saint Affricain, Roquefort, Sept Vallons
12043;Calmont;200068831;CC Pays Ségali Communauté
12044;Camarès;200067163;CC Monts, Rance et Rougier
12045;Camboulazet;200068831;CC Pays Ségali Communauté
12046;Camjac;200068831;CC Pays Ségali Communauté
12047;Campagnac;200068484;CC des Causses à l'Aubrac
12048;Campouriez;200067171;CC Aubrac, Carladez et Viadène
12049;Campuac;200067478;CC Comtal Lot et Truyère
12050;Canet-de-Salars;241200765;CC de Lévézou Pareloup
12051;Cantoin;200067171;CC Aubrac, Carladez et Viadène
